_id,airTemperature.quality,airTemperature.value,atmosphericPressureChange.quantity24Hours,atmosphericPressureChange.quantity3Hours,atmosphericPressureChange.tendency,atmosphericPressureObservation.altimeterSetting,atmosphericPressureObservation.stationPressure,callLetters,dataSource,dewPoint.quality,dewPoint.value,elevation,pastWeatherObservationManual,position.coordinates,position.type,precipitationEstimatedObservation.discrepancy,precipitationEstimatedObservation.estimatedWaterDepth,presentWeatherObservationManual,pressure.quality,pressure.value,qualityControlProcess,seaSurfaceTemperature.quality,seaSurfaceTemperature.value,sections,skyCondition.cavok,skyCondition.ceilingHeight,skyConditionObservation.highCloudGenus,skyConditionObservation.lowCloudGenus,skyConditionObservation.lowestCloudBaseHeight,skyConditionObservation.lowestCloudCoverage,skyConditionObservation.midCloudGenus,skyConditionObservation.totalCoverage,skyCoverLayer,st,ts,type,visibility.distance,visibility.variability,waveMeasurement.method,waveMeasurement.seaState,waveMeasurement.waves,wind.direction,wind.speed,wind.type
5553a99ae4b02cf715120b01,9,999.9,,,,,,SHIP,4,9,999.9,9999,"[{""atmosphericCondition"":{""value"":""0"",""quality"":""1""},""period"":{""value"":6,""quality"":""1""}}]","[147.4,-38.2]",Point,0,999,"[{""condition"":""02"",""quality"":""1""}]",9,9999.9,V020,,,"[""AA1"",""AG1"",""AY1"",""GF1"",""MW1""]",N,,,,,,,,,x-38200+147400,1984-03-12T12:00:00.000Z,FM-13,,,,,,,,N
5553a99ae4b02cf715120b02,1,12.8,,,,,,EVCS,4,9,999.9,9999,"[{""atmosphericCondition"":{""value"":""0"",""quality"":""1""},""period"":{""value"":6,""quality"":""1""}}]","[-46.3,-42.3]",Point,0,999,"[{""condition"":""02"",""quality"":""1""}]",1,1025.8,V020,9,16.9,"[""AG1"",""AY1"",""GF1"",""MD1"",""MW1"",""SA1"",""UA1""]",N,,,,,,,,,x-42300-046300,1984-03-13T00:00:00.000Z,FM-13,,,M,,,,,N
5553a99ae4b02cf715120b03,1,-31.1,,,,,,EMIO,4,1,-34.6,9999,"[{""atmosphericCondition"":{""value"":""2"",""quality"":""1""},""period"":{""value"":6,""quality"":""1""}}]","[-171.8,79.9]",Point,2,0,"[{""condition"":""02"",""quality"":""1""}]",1,1025.1,V020,,,"[""AG1"",""AY1"",""GF1"",""MA1"",""MD1"",""MW1""]",N,,,,,,,,,x+79900-171800,1984-03-12T12:00:00.000Z,FM-13,,,,,,,,N
5553a99ae4b02cf715120b04,1,1,,,,,,SHIP,4,1,0.9,9999,"[{""atmosphericCondition"":{""value"":""0"",""quality"":""1""},""period"":{""value"":6,""quality"":""1""}}]","[11.1,55.9]",Point,2,0,"[{""condition"":""02"",""quality"":""1""}]",9,9999.9,V020,9,1.9,"[""AG1"",""AY1"",""GF1"",""MA1"",""MW1"",""SA1"",""UA1""]",N,,,,,,,,,x+55900+011100,1984-03-13T00:00:00.000Z,FM-13,,,M,,,,,N
5553a99ae4b02cf715120b05,1,-4.9,,,,,,SBPT,4,9,999.9,9999,"[{""atmosphericCondition"":{""value"":""0"",""quality"":""1""},""period"":{""value"":6,""quality"":""1""}}]","[20.2,63.3]",Point,2,0,"[{""condition"":""02"",""quality"":""1""}]",1,1048.4,V020,,,"[""AG1"",""AY1"",""GF1"",""MD1"",""MW1""]",N,,,,,,,,,x+63300+020200,1984-03-12T12:00:00.000Z,FM-13,,,,,,,,N
5553a99ae4b02cf715120b06,1,27.5,,,,,,UKAF,4,9,999.9,9999,"[{""atmosphericCondition"":{""value"":""0"",""quality"":""1""},""period"":{""value"":6,""quality"":""1""}}]","[79.4,5.8]",Point,1,0,"[{""condition"":""02"",""quality"":""1""}]",1,1022.7,V020,9,31.2,"[""AG1"",""AY1"",""GF1"",""MD1"",""MW1"",""SA1"",""UG1""]",N,,,,,,,,,x+05800+079400,1984-03-13T00:00:00.000Z,FM-13,,,,,,,,N
5553a99ae4b02cf715120b07,1,22.5,,,,,,WYS,4,1,22.1,9999,"[{""atmosphericCondition"":{""value"":""8"",""quality"":""1""},""period"":{""value"":6,""quality"":""1""}}]","[-76.9,24.7]",Point,2,7,"[{""condition"":""81"",""quality"":""1""}]",1,1022.9,V020,,,"[""AG1"",""AY1"",""GF1"",""MD1"",""MW1""]",N,,,,,,,,,x+24700-076900,1984-03-12T12:00:00.000Z,FM-13,,,,,,,,N
5553a99ae4b02cf715120b08,1,1.5,,,,,,USED,4,9,999.9,9999,"[{""atmosphericCondition"":{""value"":""0"",""quality"":""1""},""period"":{""value"":6,""quality"":""1""}}]","[152.6,46.8]",Point,1,0,"[{""condition"":""02"",""quality"":""1""}]",1,1003.3,V020,9,1.5,"[""AG1"",""AY1"",""GF1"",""MD1"",""MW1"",""SA1"",""UG1""]",N,,,,,,,,,x+46800+152600,1984-03-13T00:00:00.000Z,FM-13,,,,,,,,9
5553a99ae4b02cf715120b09,1,28,,,,,,GCGX,4,1,23.3,9999,"[{""atmosphericCondition"":{""value"":""0"",""quality"":""1""},""period"":{""value"":6,""quality"":""1""}}]","[100.7,3]",Point,1,0,"[{""condition"":""02"",""quality"":""1""}]",1,1007.8,V020,9,30.1,"[""AG1"",""AY1"",""GF1"",""MD1"",""MW1"",""SA1""]",N,,,,,,,,,x+03000+100700,1984-03-12T12:00:00.000Z,FM-13,,,,,,,,9
5553a99ae4b02cf715120b0a,1,25,,,,,,ATOE,4,1,21,9999,"[{""atmosphericCondition"":{""value"":""2"",""quality"":""1""},""period"":{""value"":6,""quality"":""1""}}]","[135.1,18.3]",Point,1,0,"[{""condition"":""02"",""quality"":""1""}]",1,1019.5,V020,9,27,"[""AG1"",""AY1"",""GF1"",""MD1"",""MW1"",""SA1""]",N,,,,,,,,,x+18300+135100,1984-03-12T12:00:00.000Z,FM-13,,,,,,,,N
5553a99ae4b02cf715120b0b,1,14.4,,,,,,GREE,4,1,6.4,9999,"[{""atmosphericCondition"":{""value"":""2"",""quality"":""1""},""period"":{""value"":6,""quality"":""1""}}]","[-25.4,37.5]",Point,2,0,"[{""condition"":""52"",""quality"":""1""}]",1,1032.5,V020,9,15.1,"[""AG1"",""AY1"",""GF1"",""MD1"",""MW1"",""SA1"",""UA1""]",N,,,,,,,,,x+37500-025400,1984-03-13T00:00:00.000Z,FM-13,,,M,,,,,N
5553a99ae4b02cf715120b0c,1,11.2,,,,,,SHIP,4,1,7.1,9999,"[{""atmosphericCondition"":{""value"":""0"",""quality"":""1""},""period"":{""value"":6,""quality"":""1""}}]","[-9.1,43.6]",Point,2,0,"[{""condition"":""02"",""quality"":""1""}]",9,9999.9,V020,9,12,"[""AG1"",""AY1"",""GF1"",""MD1"",""MW1"",""SA1""]",N,,,,,,,,,x+43600-009100,1984-03-12T12:00:00.000Z,FM-13,,,,,,,,N
5553a99ae4b02cf715120b0d,1,26,,,,,,DHCW,4,1,23.3,9999,"[{""atmosphericCondition"":{""value"":""1"",""quality"":""1""},""period"":{""value"":6,""quality"":""1""}}]","[154.5,-32.1]",Point,0,999,"[{""condition"":""02"",""quality"":""1""}]",1,1011.8,V020,9,25.6,"[""AG1"",""AY1"",""GF1"",""MD1"",""MW1"",""SA1"",""UA1""]",N,,,,,,,,,x-32100+154500,1984-03-13T00:00:00.000Z,FM-13,,,M,,,,,N
5553a99ae4b02cf715120b0e,1,1,,,,,,EMJW,4,9,999.9,9999,"[{""atmosphericCondition"":{""value"":""0"",""quality"":""1""},""period"":{""value"":6,""quality"":""1""}}]","[-174.4,57.8]",Point,2,0,"[{""condition"":""02"",""quality"":""1""}]",1,1012,V020,9,2.8,"[""AG1"",""AY1"",""GF1"",""MD1"",""MW1"",""SA1""]",N,,,,,,,,,x+57800-174400,1984-03-12T12:00:00.000Z,FM-13,,,,,,,,N
5553a99ae4b02cf715120b0f,1,9.8,,,,,,OXTH,4,9,999.9,9999,"[{""atmosphericCondition"":{""value"":""0"",""quality"":""1""},""period"":{""value"":6,""quality"":""1""}}]","[-59.3,40.4]",Point,2,0,"[{""condition"":""02"",""quality"":""1""}]",1,1029.7,V020,,,"[""AG1"",""AY1"",""GF1"",""MD1"",""MW1"",""UA1"",""UG1""]",N,,,,,,,,,x+40400-059300,1984-03-13T00:00:00.000Z,FM-13,,,M,,,,,N
5553a99ae4b02cf715120b10,1,26.5,,,,,,ZRIT,4,1,23.6,9999,"[{""atmosphericCondition"":{""value"":""2"",""quality"":""1""},""period"":{""value"":6,""quality"":""1""}}]","[11.5,-18]",Point,0,999,"[{""condition"":""02"",""quality"":""1""}]",1,1012.5,V020,9,26.1,"[""AG1"",""AY1"",""GF1"",""MD1"",""MW1"",""SA1""]",N,,,,,,,,,x-18000+011500,1984-03-12T12:00:00.000Z,FM-13,,,,,,,,N
5553a99ae4b02cf715120b11,9,999.9,,,,,,SSDC,4,9,999.9,9999,,"[-133.3,70.1]",Point,1,0,"[{""condition"":""02"",""quality"":""1""}]",1,1030.4,V020,,,"[""AG1"",""GF1"",""MD1"",""MW1"",""WD1"",""WG1""]",N,,,,,,,,,x+70100-133300,1984-03-13T00:00:00.000Z,FM-13,,,,,,,,N
5553a99ae4b02cf715120b12,1,7.6,,,,,,PLAT,4,1,1.6,9999,,"[4.2,52.2]",Point,2,0,,9,9999.9,V020,9,4.5,"[""AG1"",""OA1"",""SA1"",""UA1""]",N,,,,,,,,,x+52200+004200,1984-03-12T12:00:00.000Z,FM-13,,,I,,,,,N
5553a99ae4b02cf715120b13,9,999.9,,,,,,PLAT,4,9,999.9,9999,,"[-0.2,58.9]",Point,2,0,,1,1039.5,V020,,,"[""AG1"",""GA1"",""GF1"",""MD1"",""OA1"",""UA1""]",N,,,,,,,,"[{""coverage"":{""value"":""09"",""quality"":""1""},""baseHeight"":{""value"":99999,""quality"":""9""},""cloudType"":{""value"":""99"",""quality"":""9""}}]",x+58900-000200,1984-03-13T00:00:00.000Z,FM-13,,,M,,,,,N
5553a99ae4b02cf715120b14,1,9.2,,,,,,BPJB,4,9,999.9,9999,"[{""atmosphericCondition"":{""value"":""0"",""quality"":""1""},""period"":{""value"":6,""quality"":""1""}}]","[122.5,32]",Point,1,0,"[{""condition"":""02"",""quality"":""1""}]",1,1013.8,V020,9,8.8,"[""AG1"",""AY1"",""GF1"",""MW1"",""SA1"",""UA1""]",N,,,,,,,,,x+32000+122500,1984-03-12T12:00:00.000Z,FM-13,,,M,,,,,N
5553a99ae4b02cf715120b15,1,3.9,,,,,,BINV,4,9,999.9,9999,"[{""atmosphericCondition"":{""value"":""0"",""quality"":""1""},""period"":{""value"":6,""quality"":""1""}}]","[122.7,35.8]",Point,1,0,"[{""condition"":""02"",""quality"":""1""}]",1,1022,V020,9,6.8,"[""AG1"",""AY1"",""GF1"",""MW1"",""SA1"",""UA1""]",N,,,,,,,,,x+35800+122700,1984-03-12T12:00:00.000Z,FM-13,,,M,,,,,N
